username,password,dealerApplicationId,lendingApplicationId,applicationLenderCode,applicationLenderName
user001-310086@mailinator.com,Password1,60a5218dfe4becb35e5a2bbc,80989176,1329,CUDL Automation Test Lender
user002-310086@mailinator.com,Password1,60a5218f593e4079e442a47f,80989179,1329,CUDL Automation Test Lender
user003-310086@mailinator.com,Password1,60a5218d593e4079e442a47d,80989177,1329,CUDL Automation Test Lender
user004-310086@mailinator.com,Password1,60a5218e593e4079e442a47e,80989178,1329,CUDL Automation Test Lender
user005-310086@mailinator.com,Password1,60a5218bfe4becb35e5a2bbb,80989175,1329,CUDL Automation Test Lender
user006-310086@mailinator.com,Password1,60a5218a593e4079e442a47c,80989174,1329,CUDL Automation Test Lender
user007-310086@mailinator.com,Password1,60a52188fe4becb35e5a2bb9,80989173,1329,CUDL Automation Test Lender
user008-310086@mailinator.com,Password1,60a52188fe4becb35e5a2bba,80989172,1329,CUDL Automation Test Lender
user009-310086@mailinator.com,Password1,60a52183593e4079e442a47a,80989170,1329,CUDL Automation Test Lender
user010-310086@mailinator.com,Password1,60a52183593e4079e442a47b,80989169,1329,CUDL Automation Test Lender
user011-310086@mailinator.com,Password1,60a52182fe4becb35e5a2bb8,80989171,1329,CUDL Automation Test Lender
user012-310086@mailinator.com,Password1,60a52181fe4becb35e5a2bb7,80989168,1329,CUDL Automation Test Lender
user013-310086@mailinator.com,Password1,60a52180fe4becb35e5a2bb6,80989167,1329,CUDL Automation Test Lender
user014-310086@mailinator.com,Password1,60a5217dfe4becb35e5a2bb5,80989166,1329,CUDL Automation Test Lender
user015-310086@mailinator.com,Password1,60a52178593e4079e442a479,80989165,1329,CUDL Automation Test Lender
user016-310086@mailinator.com,Password1,60a52175fe4becb35e5a2bb4,80989163,1329,CUDL Automation Test Lender
user017-310086@mailinator.com,Password1,60a52175593e4079e442a478,80989164,1329,CUDL Automation Test Lender
user018-310086@mailinator.com,Password1,60a52173593e4079e442a477,80989161,1329,CUDL Automation Test Lender
user019-310086@mailinator.com,Password1,60a52173593e4079e442a476,80989162,1329,CUDL Automation Test Lender
user020-310086@mailinator.com,Password1,60a52170fe4becb35e5a2bb3,80989159,1329,CUDL Automation Test Lender
user021-310086@mailinator.com,Password1,60a5216f593e4079e442a475,80989160,1329,CUDL Automation Test Lender
user022-310086@mailinator.com,Password1,60a5216e593e4079e442a474,80989158,1329,CUDL Automation Test Lender
user023-310086@mailinator.com,Password1,60a5216e593e4079e442a473,80989157,1329,CUDL Automation Test Lender
user024-310086@mailinator.com,Password1,60a5216afe4becb35e5a2bb2,80989156,1329,CUDL Automation Test Lender
user025-310086@mailinator.com,Password1,60a52167fe4becb35e5a2bb1,80989155,1329,CUDL Automation Test Lender
user026-310086@mailinator.com,Password1,60a52175fe4becb35e5a2bb4,80989163,1329,CUDL Automation Test Lender
user027-310086@mailinator.com,Password1,60a52175593e4079e442a478,80989164,1329,CUDL Automation Test Lender
user028-310086@mailinator.com,Password1,60a52173593e4079e442a477,80989161,1329,CUDL Automation Test Lender
user029-310086@mailinator.com,Password1,60a52173593e4079e442a476,80989162,1329,CUDL Automation Test Lender
user030-310086@mailinator.com,Password1,60a52170fe4becb35e5a2bb3,80989159,1329,CUDL Automation Test Lender
user031-310086@mailinator.com,Password1,60a5216f593e4079e442a475,80989160,1329,CUDL Automation Test Lender
user032-310086@mailinator.com,Password1,60a5216e593e4079e442a474,80989158,1329,CUDL Automation Test Lender
user033-310086@mailinator.com,Password1,60a5216e593e4079e442a473,80989157,1329,CUDL Automation Test Lender
user034-310086@mailinator.com,Password1,60a5216afe4becb35e5a2bb2,80989156,1329,CUDL Automation Test Lender
user035-310086@mailinator.com,Password1,60a52167fe4becb35e5a2bb1,80989155,1329,CUDL Automation Test Lender
user036-310086@mailinator.com,Password1,60a52175fe4becb35e5a2bb4,80989163,1329,CUDL Automation Test Lender
user037-310086@mailinator.com,Password1,60a52175593e4079e442a478,80989164,1329,CUDL Automation Test Lender
user038-310086@mailinator.com,Password1,60a52173593e4079e442a477,80989161,1329,CUDL Automation Test Lender
user039-310086@mailinator.com,Password1,60a52173593e4079e442a476,80989162,1329,CUDL Automation Test Lender
user040-310086@mailinator.com,Password1,60a52170fe4becb35e5a2bb3,80989159,1329,CUDL Automation Test Lender
user041-310086@mailinator.com,Password1,60a5216f593e4079e442a475,80989160,1329,CUDL Automation Test Lender
user042-310086@mailinator.com,Password1,60a5216e593e4079e442a474,80989158,1329,CUDL Automation Test Lender
user043-310086@mailinator.com,Password1,60a5216e593e4079e442a473,80989157,1329,CUDL Automation Test Lender
user044-310086@mailinator.com,Password1,60a5216afe4becb35e5a2bb2,80989156,1329,CUDL Automation Test Lender
user045-310086@mailinator.com,Password1,60a52167fe4becb35e5a2bb1,80989155,1329,CUDL Automation Test Lender
user046-310086@mailinator.com,Password1,60a52175fe4becb35e5a2bb4,80989163,1329,CUDL Automation Test Lender
user047-310086@mailinator.com,Password1,60a52175593e4079e442a478,80989164,1329,CUDL Automation Test Lender
user048-310086@mailinator.com,Password1,60a52173593e4079e442a477,80989161,1329,CUDL Automation Test Lender
user049-310086@mailinator.com,Password1,60a52173593e4079e442a476,80989162,1329,CUDL Automation Test Lender
user050-310086@mailinator.com,Password1,60a52170fe4becb35e5a2bb3,80989159,1329,CUDL Automation Test Lender
