username,password,dealerApplicationId,lendingApplicationId,applicationLenderCode,applicationLenderName,digitalDealAppStagingId
loadtestuser01@311536.com,Password1,60a5218dfe4becb35e5a2bbc,80989176,1329,CUDL Automation Test Lender,NZW9DGAV
loadtestuser02@311536.com,Password1,60a5218f593e4079e442a47f,80989179,1329,CUDL Automation Test Lender,QURFLEBA
loadtestuser03@311536.com,Password1,60a5218d593e4079e442a47d,80989177,1329,CUDL Automation Test Lender,GUGTBA2Y
loadtestuser04@311536.com,Password1,60a5218e593e4079e442a47e,80989178,1329,CUDL Automation Test Lender,VF8MVAAU
loadtestuser05@311536.com,Password1,60a5218bfe4becb35e5a2bbb,80989175,1329,CUDL Automation Test Lender,FD3HXSH9
loadtestuser06@311536.com,Password1,60a5218a593e4079e442a47c,80989174,1329,CUDL Automation Test Lender,RUBY6JGG
loadtestuser07@311536.com,Password1,60a52188fe4becb35e5a2bb9,80989173,1329,CUDL Automation Test Lender,NZW9DGAV
loadtestuser08@311536.com,Password1,60a52188fe4becb35e5a2bba,80989172,1329,CUDL Automation Test Lender,QURFLEBA
loadtestuser09@311536.com,Password1,60a52183593e4079e442a47a,80989170,1329,CUDL Automation Test Lender,GUGTBA2Y
loadtestuser10@311536.com,Password1,60a52183593e4079e442a47b,80989169,1329,CUDL Automation Test Lender,VF8MVAAU
loadtestuser11@311536.com,Password1,60a52182fe4becb35e5a2bb8,80989171,1329,CUDL Automation Test Lender,FD3HXSH9
loadtestuser12@311536.com,Password1,60a52181fe4becb35e5a2bb7,80989168,1329,CUDL Automation Test Lender,RUBY6JGG
loadtestuser13@311536.com,Password1,60a52180fe4becb35e5a2bb6,80989167,1329,CUDL Automation Test Lender,NZW9DGAV
loadtestuser14@311536.com,Password1,60a5217dfe4becb35e5a2bb5,80989166,1329,CUDL Automation Test Lender,QURFLEBA
loadtestuser15@311536.com,Password1,60a52178593e4079e442a479,80989165,1329,CUDL Automation Test Lender,GUGTBA2Y
loadtestuser16@311536.com,Password1,60a52175fe4becb35e5a2bb4,80989163,1329,CUDL Automation Test Lender,VF8MVAAU
loadtestuser17@311536.com,Password1,60a52175593e4079e442a478,80989164,1329,CUDL Automation Test Lender,FD3HXSH9
loadtestuser18@311536.com,Password1,60a52173593e4079e442a477,80989161,1329,CUDL Automation Test Lender,RUBY6JGG
loadtestuser19@311536.com,Password1,60a52173593e4079e442a476,80989162,1329,CUDL Automation Test Lender,NZW9DGAV
loadtestuser20@311536.com,Password1,60a52170fe4becb35e5a2bb3,80989159,1329,CUDL Automation Test Lender,QURFLEBA
loadtestuser21@311536.com,Password1,60a5216f593e4079e442a475,80989160,1329,CUDL Automation Test Lender,GUGTBA2Y
loadtestuser22@311536.com,Password1,60a5216e593e4079e442a474,80989158,1329,CUDL Automation Test Lender,VF8MVAAU
loadtestuser23@311536.com,Password1,60a5216e593e4079e442a473,80989157,1329,CUDL Automation Test Lender,FD3HXSH9
loadtestuser24@311536.com,Password1,60a5216afe4becb35e5a2bb2,80989156,1329,CUDL Automation Test Lender,RUBY6JGG
loadtestuser25@311536.com,Password1,60a52167fe4becb35e5a2bb1,80989155,1329,CUDL Automation Test Lender,NZW9DGAV
