username,password,dealerApplicationId,lendingApplicationId,applicationLenderCode,applicationLenderName,digitalDealAppStagingId
user001-312587@origence.testinator.com,Password1,64a722881f4bd7ce4c178ab1,81351170,1329,CUDL Automation Test Lender,NZW9DGAV
user002-312587@origence.testinator.com,Password1,64a722881f4bd7ce4c178ab2,81351171,1329,CUDL Automation Test Lender,QURFLEBA
user003-312587@origence.testinator.com,Password1,64a722881f4bd7ce4c178ab3,81351173,1329,CUDL Automation Test Lender,GUGTBA2Y
user004-312587@origence.testinator.com,Password1,64a722883456da3f63673849,81351172,1329,CUDL Automation Test Lender,VF8MVAAU
user005-312587@origence.testinator.com,Password1,64a722881f4bd7ce4c178ab4,81351175,1329,CUDL Automation Test Lender,FD3HXSH9
user006-312587@origence.testinator.com,Password1,64a722883456da3f6367384a,81351174,1329,CUDL Automation Test Lender,RUBY6JGG
user007-312587@origence.testinator.com,Password1,64a722883456da3f6367384b,81351176,1329,CUDL Automation Test Lender,NZW9DGAV
user008-312587@origence.testinator.com,Password1,64a722893456da3f6367384c,81351177,1329,CUDL Automation Test Lender,QURFLEBA
user009-312587@origence.testinator.com,Password1,64a7228b3456da3f6367384d,81351178,1329,CUDL Automation Test Lender,GUGTBA2Y
user010-312587@origence.testinator.com,Password1,64a7228b1f4bd7ce4c178ab5,81351179,1329,CUDL Automation Test Lender,VF8MVAAU
user011-312587@origence.testinator.com,Password1,64a7228c1f4bd7ce4c178ab6,81351180,1329,CUDL Automation Test Lender,FD3HXSH9
user012-312587@origence.testinator.com,Password1,64a7228e1f4bd7ce4c178ab7,81351181,1329,CUDL Automation Test Lender,RUBY6JGG
user013-312587@origence.testinator.com,Password1,64a722911f4bd7ce4c178ab8,81351182,1329,CUDL Automation Test Lender,NZW9DGAV
user014-312587@origence.testinator.com,Password1,64a722913456da3f6367384e,81351183,1329,CUDL Automation Test Lender,QURFLEBA
user015-312587@origence.testinator.com,Password1,64a722921f4bd7ce4c178ab9,81351184,1329,CUDL Automation Test Lender,GUGTBA2Y
user016-312587@origence.testinator.com,Password1,64a722923456da3f6367384f,81351185,1329,CUDL Automation Test Lender,VF8MVAAU
user017-312587@origence.testinator.com,Password1,64a722921f4bd7ce4c178aba,81351186,1329,CUDL Automation Test Lender,FD3HXSH9
user018-312587@origence.testinator.com,Password1,64a722931f4bd7ce4c178abb,81351187,1329,CUDL Automation Test Lender,RUBY6JGG
user019-312587@origence.testinator.com,Password1,64a722943456da3f63673850,81351189,1329,CUDL Automation Test Lender,NZW9DGAV
user020-312587@origence.testinator.com,Password1,64a722943456da3f63673851,81351190,1329,CUDL Automation Test Lender,QURFLEBA
user021-312587@origence.testinator.com,Password1,64a722941f4bd7ce4c178abc,81351188,1329,CUDL Automation Test Lender,GUGTBA2Y
user022-312587@origence.testinator.com,Password1,64a722943456da3f63673852,81351191,1329,CUDL Automation Test Lender,VF8MVAAU
user023-312587@origence.testinator.com,Password1,64a722953456da3f63673853,81351192,1329,CUDL Automation Test Lender,FD3HXSH9
user024-312587@origence.testinator.com,Password1,649caf95302c7db353370720,81349299,1329,CUDL Automation Test Lender,RUBY6JGG
user025-312587@origence.testinator.com,Password1,649caf95302c7db35337071f,81349300,1329,CUDL Automation Test Lender,NZW9DGAV
