username,password,dealerApplicationId,lendingApplicationId,applicationLenderCode,applicationLenderName
loadtestuser01@311442.com,Password1,60a5218dfe4becb35e5a2bbc,80989176,1329,CUDL Automation Test Lender
loadtestuser02@311442.com,Password1,60a5218f593e4079e442a47f,80989179,1329,CUDL Automation Test Lender
loadtestuser03@311442.com,Password1,60a5218d593e4079e442a47d,80989177,1329,CUDL Automation Test Lender
loadtestuser04@311442.com,Password1,60a5218e593e4079e442a47e,80989178,1329,CUDL Automation Test Lender
loadtestuser05@311442.com,Password1,60a5218bfe4becb35e5a2bbb,80989175,1329,CUDL Automation Test Lender
loadtestuser06@311442.com,Password1,60a5218a593e4079e442a47c,80989174,1329,CUDL Automation Test Lender
loadtestuser07@311442.com,Password1,60a52188fe4becb35e5a2bb9,80989173,1329,CUDL Automation Test Lender
loadtestuser08@311442.com,Password1,60a52188fe4becb35e5a2bba,80989172,1329,CUDL Automation Test Lender
loadtestuser09@311442.com,Password1,60a52183593e4079e442a47a,80989170,1329,CUDL Automation Test Lender
loadtestuser10@311442.com,Password1,60a52183593e4079e442a47b,80989169,1329,CUDL Automation Test Lender
loadtestuser11@311442.com,Password1,60a52182fe4becb35e5a2bb8,80989171,1329,CUDL Automation Test Lender
loadtestuser12@311442.com,Password1,60a52181fe4becb35e5a2bb7,80989168,1329,CUDL Automation Test Lender
loadtestuser13@311442.com,Password1,60a52180fe4becb35e5a2bb6,80989167,1329,CUDL Automation Test Lender
loadtestuser14@311442.com,Password1,60a5217dfe4becb35e5a2bb5,80989166,1329,CUDL Automation Test Lender
loadtestuser15@311442.com,Password1,60a52178593e4079e442a479,80989165,1329,CUDL Automation Test Lender
loadtestuser16@311442.com,Password1,60a52175fe4becb35e5a2bb4,80989163,1329,CUDL Automation Test Lender
loadtestuser17@311442.com,Password1,60a52175593e4079e442a478,80989164,1329,CUDL Automation Test Lender
loadtestuser18@311442.com,Password1,60a52173593e4079e442a477,80989161,1329,CUDL Automation Test Lender
loadtestuser19@311442.com,Password1,60a52173593e4079e442a476,80989162,1329,CUDL Automation Test Lender
loadtestuser20@311442.com,Password1,60a52170fe4becb35e5a2bb3,80989159,1329,CUDL Automation Test Lender
loadtestuser21@311442.com,Password1,60a5216f593e4079e442a475,80989160,1329,CUDL Automation Test Lender
loadtestuser22@311442.com,Password1,60a5216e593e4079e442a474,80989158,1329,CUDL Automation Test Lender
loadtestuser23@311442.com,Password1,60a5216e593e4079e442a473,80989157,1329,CUDL Automation Test Lender
loadtestuser24@311442.com,Password1,60a5216afe4becb35e5a2bb2,80989156,1329,CUDL Automation Test Lender
loadtestuser25@311442.com,Password1,60a52167fe4becb35e5a2bb1,80989155,1329,CUDL Automation Test Lender
