username,password,dealerApplicationId,lendingApplicationId,applicationLenderCode,applicationLenderName,mailinatorUserName
user001-315831@origence.testinator.com,Password1,610056b2795cb32cc0096deb,50805313,1329,CUDL Automation Test Lender,user001-315831
user002-315831@origence.testinator.com,Password1,60ae9ecff05185551615d3e5,50760337,1329,CUDL Automation Test Lender,user002-315831
user003-315831@origence.testinator.com,Password1,60917c908b31a13339a09a86,50752908,1329,CUDL Automation Test Lender,user003-315831
user004-315831@origence.testinator.com,Password1,60917c8d0f1ee5badf2bf350,50752907,1329,CUDL Automation Test Lender,user004-315831
user005-315831@origence.testinator.com,Password1,60917c8c0f1ee5badf2bf34f,50752906,1329,CUDL Automation Test Lender,user005-315831
user006-315831@origence.testinator.com,Password1,60917c8a0f1ee5badf2bf34d,50752905,1329,CUDL Automation Test Lender,user006-315831
user007-315831@origence.testinator.com,Password1,60917c8c0f1ee5badf2bf34e,50752904,1329,CUDL Automation Test Lender,user007-315831
user008-315831@origence.testinator.com,Password1,60917c878b31a13339a09a85,50752903,1329,CUDL Automation Test Lender,user008-315831
user009-315831@origence.testinator.com,Password1,60917c858b31a13339a09a84,50752902,1329,CUDL Automation Test Lender,user009-315831
user010-315831@origence.testinator.com,Password1,60917c818b31a13339a09a83,50752901,1329,CUDL Automation Test Lender,user010-315831
user011-315831@origence.testinator.com,Password1,60917c808b31a13339a09a82,50752900,1329,CUDL Automation Test Lender,user011-315831
user012-315831@origence.testinator.com,Password1,60917c790f1ee5badf2bf34c,50752897,1329,CUDL Automation Test Lender,user012-315831
user013-315831@origence.testinator.com,Password1,60917c7a8b31a13339a09a81,50752899,1329,CUDL Automation Test Lender,user013-315831
user014-315831@origence.testinator.com,Password1,60917c7a8b31a13339a09a80,50752898,1329,CUDL Automation Test Lender,user014-315831
user015-315831@origence.testinator.com,Password1,60917c770f1ee5badf2bf34b,50752896,1329,CUDL Automation Test Lender,user015-315831
user016-315831@origence.testinator.com,Password1,60917c750f1ee5badf2bf34a,50752895,1329,CUDL Automation Test Lender,user016-315831
user017-315831@origence.testinator.com,Password1,60917c740f1ee5badf2bf349,50752893,1329,CUDL Automation Test Lender,user017-315831
user018-315831@origence.testinator.com,Password1,60917c740f1ee5badf2bf348,50752894,1329,CUDL Automation Test Lender,user018-315831
user019-315831@origence.testinator.com,Password1,60917c6c0f1ee5badf2bf347,50752892,1329,CUDL Automation Test Lender,user019-315831
user020-315831@origence.testinator.com,Password1,60917c698b31a13339a09a7f,50752891,1329,CUDL Automation Test Lender,user020-315831
user021-315831@origence.testinator.com,Password1,60917c600f1ee5badf2bf346,50752890,1329,CUDL Automation Test Lender,user021-315831
user022-315831@origence.testinator.com,Password1,60917c618b31a13339a09a7e,50752889,1329,CUDL Automation Test Lender,user022-315831
user023-315831@origence.testinator.com,Password1,60917c590f1ee5badf2bf345,50752887,1329,CUDL Automation Test Lender,user023-315831
user024-315831@origence.testinator.com,Password1,60917c580f1ee5badf2bf344,50752886,1329,CUDL Automation Test Lender,user024-315831
user025-315831@origence.testinator.com,Password1,60917c528b31a13339a09a7d,50752885,1329,CUDL Automation Test Lender,user025-315831
