username,password,dealerApplicationId,lendingApplicationId,applicationLenderCode,applicationLenderName,digitalDealAppStagingId,mailinatorUserName
user001-315831@origence.testinator.com,Password1,5b451183b18fbf995496b4ee,50805313,1329,CUDL Automation Test Lender,Z2B76NJ5,user001-315831
user002-315831@origence.testinator.com,Password1,5b451182b18fbf995496b4ed,50760337,1329,CUDL Automation Test Lender,5GVV4WLL,user002-315831
user003-315831@origence.testinator.com,Password1,5b451183b18fbf995496b4ef,50752908,1329,CUDL Automation Test Lender,C72MFXH2,user003-315831
user004-315831@origence.testinator.com,Password1,5b451182b18fbf995496b4eb,50752907,1329,CUDL Automation Test Lender,EBSMD29H,user004-315831
user005-315831@origence.testinator.com,Password1,5b451182b18fbf995496b4ec,50752906,1329,CUDL Automation Test Lender,JWJR3428,user005-315831
user006-315831@origence.testinator.com,Password1,5b451183b18fbf995496b4f0,50752905,1329,CUDL Automation Test Lender,7HPMPT8K,user006-315831
user007-315831@origence.testinator.com,Password1,5b451183b18fbf995496b4f1,50752904,1329,CUDL Automation Test Lender,QPVSX4A4,user007-315831
user008-315831@origence.testinator.com,Password1,5b45117cb18fbf995496b4e9,50752903,1329,CUDL Automation Test Lender,96TZ48NU,user008-315831
user009-315831@origence.testinator.com,Password1,5b451178b18fbf995496b4e6,50752902,1329,CUDL Automation Test Lender,GJ2RRL5H,user009-315831
user010-315831@origence.testinator.com,Password1,5b45117ab18fbf995496b4e8,50752901,1329,CUDL Automation Test Lender,CJ5D8FGF,user010-315831
user011-315831@origence.testinator.com,Password1,5b45117db18fbf995496b4ea,50752900,1329,CUDL Automation Test Lender,TT8SKCR7,user011-315831
user012-315831@origence.testinator.com,Password1,5b451179b18fbf995496b4e7,50752897,1329,CUDL Automation Test Lender,YZBZA4UR,user012-315831
user013-315831@origence.testinator.com,Password1,5b451186b18fc2269cf6e507,50752899,1329,CUDL Automation Test Lender,EXP26T7F,user013-315831
user014-315831@origence.testinator.com,Password1,5b451183b18fc2269cf6e505,50752898,1329,CUDL Automation Test Lender,WKENK6UT,user014-315831
user015-315831@origence.testinator.com,Password1,5b451183b18fc2269cf6e506,50752896,1329,CUDL Automation Test Lender,AELRZE7X,user015-315831
user016-315831@origence.testinator.com,Password1,5b45117cb18fc2269cf6e501,50752895,1329,CUDL Automation Test Lender,KBCFPELA,user016-315831
user017-315831@origence.testinator.com,Password1,5b451183b18fc2269cf6e504,50752893,1329,CUDL Automation Test Lender,LHFZXM42,user017-315831
user018-315831@origence.testinator.com,Password1,5b45116db18fbf995496b4e4,50752894,1329,CUDL Automation Test Lender,5D3G653Q,user018-315831
user019-315831@origence.testinator.com,Password1,5b451176b18fbf995496b4e5,50752892,1329,CUDL Automation Test Lender,23ZVBMHJ,user019-315831
user020-315831@origence.testinator.com,Password1,5b45117cb18fc2269cf6e502,50752891,1329,CUDL Automation Test Lender,WGN9HKS4,user020-315831
user021-315831@origence.testinator.com,Password1,5b45116cb18fbf995496b4e3,50752890,1329,CUDL Automation Test Lender,JE3J2MLZ,user021-315831
user022-315831@origence.testinator.com,Password1,5b451181b18fc2269cf6e503,50752889,1329,CUDL Automation Test Lender,T3GLSYAG,user022-315831
user023-315831@origence.testinator.com,Password1,5b45117bb18fc2269cf6e4ff,50752887,1329,CUDL Automation Test Lender,M6B9VBN4,user023-315831
user024-315831@origence.testinator.com,Password1,5b45117bb18fc2269cf6e500,50752886,1329,CUDL Automation Test Lender,NUYXEZ54,user024-315831
user025-315831@origence.testinator.com,Password1,5b45117ab18fc2269cf6e4fe,50752885,1329,CUDL Automation Test Lender,TRGVJMPU,user025-315831
